"","pitch_type","release_speed","zone","stand","p_throws","description","type","bb_type","balls","strikes","on_3b","on_2b","on_1b","outs_when_up","pitch_number"
"23698","FF",91.4,11,"R","L","foul","S",NA,2,2,NA,665862,NA,2,5
"23699","FC",84.7,5,"R","L","foul","S",NA,0,2,592669,NA,656941,1,5
"23700","SI",91.6,5,"R","R","hit_into_play","X","ground_ball",2,1,NA,NA,NA,2,4
"23701","SL",80.8,12,"R","R","ball","B",NA,0,0,NA,NA,NA,0,1
"23702","SL",82,2,"L","R","foul","S",NA,1,1,NA,NA,NA,0,3
"23703","FC",100.1,11,"R","R","ball","B",NA,2,2,NA,NA,NA,0,5
"23704","SI",95.2,6,"R","R","called_strike","S",NA,0,1,NA,NA,NA,1,2
"23705","CH",85.1,14,"L","R","blocked_ball","B",NA,2,1,NA,NA,545341,1,4
"23706","SI",96.5,3,"R","R","called_strike","S",NA,1,1,NA,NA,NA,0,3
"23707","FF",88.9,5,"L","L","called_strike","S",NA,1,0,NA,NA,NA,2,2
"23708","FF",94.7,3,"L","R","foul_tip","S",NA,0,0,606132,596115,NA,2,1
